ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P41-Eta-A1,791-ETAA1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-A2,791-ETAA2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-A3,791-ETAA3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-A4,791-ETAA4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-A5,791-ETAA5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-B2,791-ETAB2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-B3,791-ETAB3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-B4,791-ETAB4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-C1,791-EtaC1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-C2,791-EtaC2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-C3,791-EtaC3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-C4,791-ETAC4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Eta-C5,791-ETAC5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-A2,791-L1A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-A3,791-L1A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-A4,791-L1A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-A5,791-L1A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-B1,791-L1B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-B2,791-L1B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-B3,791-L1B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-B4,791-L1B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-B5,791-L1B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-C1,791-L1C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-C2,791-L1C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-C3,791-L1C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-C4,791-L1C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung1-C5,791-L1C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-A1,791-L2A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-A2,791-L2A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-A3,791-L2A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-A4,791-L2A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-A5,791-L2A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-B1,791-L2B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-B2,791-L2B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-B3,791-L2B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-B4,791-L2B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-B5,791-L2B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-C1,791-L2C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-C2,791-L2C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-C3,791-L2C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-C4,791-L2C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung2-C5,791-L2C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-A1,791-L3A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-A2,791-L3A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-A3,791-L3A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-A5,791-L3A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-B1,791-L3B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-B2,791-L3B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-B3,791-L3B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-B4,791-L3B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-B5,791-L3B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-C1,791-L3C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-C2,791-L3C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-C3,791-L3C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-C4,791-L3C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung3-C5,791-L3C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-A1,791-L4A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-A2,791-L4A2a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-A3,791-L4A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-A4,791-L4A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-A5,791-L4A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-B2,791-L4B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-B3,791-L4B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-B4,791-L4B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-B5,791-L4B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-C1,791-L4C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-C2,791-L4C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-C3,791-L4C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-C4,791-L4C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung4-C5,791-L4C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-A1,791-L5A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-A2,791-L5A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-A3,791-L5A3/sickle2050/pairedendtb
