ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P41-Lung5-A4,791-L5A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-A5,791-L5A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-B1,791-L5B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-B2,791-L5B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-B3,791-L5B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-B4,791-L5B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-B5,791-L5B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-C1,791-L5C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-C4,791-L5C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung5-C5,791-L5C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-A1,791-L6A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-A2,791-L6A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-A3,791-L6A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-A4,791-L6A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-A5,791-L6A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-B1,791-L6B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-B2,791-L6B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-B3,791-L6B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-B5,791-L6B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-C1,791-L6C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-C2,791-L6C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-C3,791-L6C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-C4,791-L6C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Lung6-C5,791-L6C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-A1,791-LivA1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-A2,791-LivA2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-A3,791-LivA3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-A4,791-LivA4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-A5,791-LivA5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-B1,791-LivB1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-B2,791-LivB2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-B3,791-LivB3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-B4,791-LivB4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-B5,791-LivB5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-C1,791-LivC1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-C2,791-LivC2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-C3,791-LivC3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-C4,791-LivC4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P41-Liver-C5,791-LivC5/sickle2050/pairedendtb
